Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
38,1,Mohammed Khalil Al Owais,Saudi Arabia,Goalkeeper,67.3
47,2,Salem Mohammed Al Dawsari,Saudi Arabia,Central/Wide Midfield,66.7
102,3,Firas Tariq Nasser Al Albirakan,Saudi Arabia,Central/Wide Midfield,62.7
127,4,Mohammed Kanoo,Saudi Arabia,Central/Wide Midfield,62.1
133,5,Hassan Mohammed Al-Tambakti,Saudi Arabia,Center Back,61.9
221,6,Abdulelah Saad Hameed Al-Malki,Saudi Arabia,Defensive Midfield,60
223,7,Saleh Khalid Al Shehri,Saudi Arabia,Forward,59.9
273,8,Saud Abdullah Abdul Hamid,Saudi Arabia,Fullback/Wingback,59.2
325,9,Abdulelah Al Amri,Saudi Arabia,Center Back,58.3
347,10,Nawaf Shaker Al Abid,Saudi Arabia,Attacking Midfield/Wing,58.1
358,11,Ali Albulayhi,Saudi Arabia,Center Back,58
398,12,Mohammed Al Burayk,Saudi Arabia,Fullback/Wingback,57.6
431,13,Sultan Abdullah Salim Al Ghannam,Saudi Arabia,Fullback/Wingback,57.3
471,14,Abdulrahman Al-Obood,Saudi Arabia,Attacking Midfield/Wing,57
492,15,Sami Khalil Al Naji,Saudi Arabia,Attacking Midfield/Wing,56.8
500,16,Salman Mohammed Al Faraj,Saudi Arabia,Central/Wide Midfield,56.8
519,17,Yasir Gharsan Al Shahrani,Saudi Arabia,Fullback/Wingback,56.7
556,18,Ali Al Hassan,Saudi Arabia,Defensive Midfield,56.3
557,19,Riyadh Sharahili,Saudi Arabia,Defensive Midfield,56.3
574,20,Abdullah Mohammed Madu,Saudi Arabia,Center Back,56
