Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
22,1,Achraf Hakimi Mouh,Morocco,Fullback/Wingback,69.9
25,2,Youssef En-Nesyri,Morocco,Forward,69.4
27,3,Hakim Ziyech,Morocco,Attacking Midfield/Wing,69.3
30,4,Sofyan Amrabat,Morocco,Defensive Midfield,69
33,5,Azzedine Ounahi,Morocco,Central/Wide Midfield,68.5
40,6,Sofiane Boufal,Morocco,Central/Wide Midfield,67.2
67,7,Romain Saïss,Morocco,Center Back,65
87,8,Yassine Bounou,Morocco,Goalkeeper,63.7
93,9,Selim Amallah,Morocco,Central/Wide Midfield,63.2
132,10,Nayef Aguerd,Morocco,Center Back,61.9
185,11,Yahia Attiyat allah,Morocco,Fullback/Wingback,60.6
217,12,Jawad El Yamiq,Morocco,Center Back,60.1
261,13,Noussair Mazraoui,Morocco,Fullback/Wingback,59.4
264,14,Achraf Dari,Morocco,Center Back,59.4
314,15,Abdelhamid Sabiri,Morocco,Central/Wide Midfield,58.5
326,16,Abderrazak Hamdallah,Morocco,Forward,58.3
397,17,Zakaria Aboukhlal,Morocco,Forward,57.6
410,18,Bilal El Khannous,Morocco,Central/Wide Midfield,57.5
469,19,Ilias Chair,Morocco,Central/Wide Midfield,57
484,20,Walid Cheddira,Morocco,Forward,56.9
528,21,Badr Banoun,Morocco,Center Back,56.6
546,22,Abdessamad Ezzalzouli,Morocco,Attacking Midfield/Wing,56.4
