Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
142,1,Hirving Rodrigo Lozano Bahena,Mexico,Attacking Midfield/Wing,61.5
171,2,Henry Josué Martín Mex,Mexico,Forward,60.8
181,3,Luis Gerardo Chávez Magallón,Mexico,Defensive Midfield,60.6
192,4,Héctor Alfredo Moreno Herrera,Mexico,Center Back,60.4
202,5,Jesús Daniel Gallardo Vasconcelos,Mexico,Fullback/Wingback,60.3
220,6,Ernesto Alexis Vega Rojas,Mexico,Attacking Midfield/Wing,60
338,7,César Jasib Montes Castro,Mexico,Center Back,58.2
348,8,Orbelín Pineda Alvarado,Mexico,Attacking Midfield/Wing,58.1
360,9,Héctor Miguel Herrera López,Mexico,Defensive Midfield,57.9
396,10,Carlos Uriel Antuna Romero,Mexico,Attacking Midfield/Wing,57.6
427,11,Edson Omar Álvarez Velázquez,Mexico,Defensive Midfield,57.3
438,12,Jorge Eduardo Sánchez Ramos,Mexico,Fullback/Wingback,57.2
454,13,Raúl Alonso Jiménez Rodríguez,Mexico,Forward,57.1
464,14,Néstor Alejandro Araújo Razo,Mexico,Center Back,57
505,15,Érick Gabriel Gutiérrez Galaviz,Mexico,Defensive Midfield,56.7
514,16,Kevin Nahin Álvarez Campos,Mexico,Fullback/Wingback,56.7
571,17,Carlos Alberto Rodríguez Gómez,Mexico,Central/Wide Midfield,56.1
583,18,Francisco Guillermo Ochoa Magaña,Mexico,Goalkeeper,55.5
