Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
37,1,Cody Mathès Gakpo,Netherlands,Attacking Midfield/Wing,67.7
42,2,Frenkie de Jong,Netherlands,Defensive Midfield,67.1
51,3,Memphis Depay,Netherlands,Forward,66.4
70,4,Virgil van Dijk,Netherlands,Center Back,64.7
92,5,Daley Blind,Netherlands,Fullback/Wingback,63.4
120,6,Denzel Dumfries,Netherlands,Fullback/Wingback,62.3
148,7,Andries Noppert,Netherlands,Goalkeeper,61.4
156,8,Nathan Aké,Netherlands,Center Back,61.2
175,9,Steven Bergwijn,Netherlands,Forward,60.7
187,10,Jurriën David Norman Timber,Netherlands,Center Back,60.5
222,11,Steven Berghuis,Netherlands,Defensive Midfield,60
230,12,Davy Klaassen,Netherlands,Attacking Midfield/Wing,59.9
306,13,Marten de Roon,Netherlands,Defensive Midfield,58.6
361,14,Teun Koopmeiners,Netherlands,Defensive Midfield,57.9
365,15,Vincent Janssen,Netherlands,Forward,57.9
380,16,Wout Weghorst,Netherlands,Forward,57.7
455,17,Luuk de Jong,Netherlands,Forward,57.1
460,18,Matthijs de Ligt,Netherlands,Center Back,57
