Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
32,1,Breel-Donald Embolo,Switzerland,Forward,68.8
103,2,Granit Xhaka,Switzerland,Defensive Midfield,62.7
112,3,Xherdan Shaqiri,Switzerland,Central/Wide Midfield,62.5
113,4,Manuel Obafemi Akanji,Switzerland,Center Back,62.5
125,5,Remo Freuler,Switzerland,Defensive Midfield,62.2
140,6,Ruben Vargas,Switzerland,Attacking Midfield/Wing,61.6
155,7,Ricardo Iván Rodríguez Araya,Switzerland,Fullback/Wingback,61.2
188,8,Djibril Sow,Switzerland,Attacking Midfield/Wing,60.5
252,9,Silvan Widmer,Switzerland,Fullback/Wingback,59.5
370,10,Fabian Lukas Schär,Switzerland,Center Back,57.9
390,11,Yann Sommer,Switzerland,Goalkeeper,57.6
408,12,Edimilson Fernandes,Switzerland,Fullback/Wingback,57.5
416,13,Nico Elvedi,Switzerland,Center Back,57.4
470,14,Fabian Rieder,Switzerland,Attacking Midfield/Wing,57
491,15,Haris Seferović,Switzerland,Forward,56.8
506,16,Noah Okafor,Switzerland,Central/Wide Midfield,56.7
527,17,Eray Ervin Cömert,Switzerland,Center Back,56.6
530,18,Denis Lemi Zakaria Lako Lado,Switzerland,Defensive Midfield,56.6
