Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
153,1,Youssef Msakni,Tunisia,Attacking Midfield/Wing,61.3
169,2,Issam Jebali,Tunisia,Forward,60.8
232,3,Aymen Dahmen,Tunisia,Goalkeeper,59.8
249,4,Ellyes Joris Skhiri,Tunisia,Defensive Midfield,59.5
263,5,Aïssa Bilal Laïdouni,Tunisia,Defensive Midfield,59.4
281,6,Wahbi Khazri,Tunisia,Forward,59
343,7,Montassar Omar Talbi,Tunisia,Center Back,58.1
353,8,Naïm Sliti,Tunisia,Attacking Midfield/Wing,58
384,9,Anis Ben Slimane,Tunisia,Attacking Midfield/Wing,57.7
387,10,Wajdi Kechrida,Tunisia,Fullback/Wingback,57.6
389,11,Yassine Meriah,Tunisia,Center Back,57.6
407,12,Nader Ghandri,Tunisia,Center Back,57.5
440,13,Mohamed Ali Ben Romdhane,Tunisia,Attacking Midfield/Wing,57.2
472,14,Ali Maâloul,Tunisia,Fullback/Wingback,57
502,15,Ali Abdi,Tunisia,Fullback/Wingback,56.8
508,16,Dylan Daniel Mahmoud Bronn,Tunisia,Center Back,56.7
510,17,Mohamed Dräger,Tunisia,Fullback/Wingback,56.7
526,18,Ferjani Sassi,Tunisia,Defensive Midfield,56.6
