Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
233,1,Rodrigo Bentancur Colmán,Uruguay,Defensive Midfield,59.8
237,2,Luis Alberto Suárez Díaz,Uruguay,Forward,59.7
245,3,Darwin Gabriel Núñez Ribeiro,Uruguay,Attacking Midfield/Wing,59.6
248,4,Federico Santiago Valverde Dipetta,Uruguay,Defensive Midfield,59.5
257,5,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,Central/Wide Midfield,59.5
308,6,Edinson Roberto Cavani Gómez,Uruguay,Forward,58.6
330,7,Sergio Rochet Álvarez,Uruguay,Goalkeeper,58.3
377,8,José María Giménez de Vargas,Uruguay,Center Back,57.8
393,9,Mathías Olivera Miramontes,Uruguay,Fullback/Wingback,57.6
402,10,Guillermo Varela Olivera,Uruguay,Fullback/Wingback,57.6
418,11,Facundo Pellistri Rebollo,Uruguay,Attacking Midfield/Wing,57.4
422,12,Matías Vecino Falero,Uruguay,Central/Wide Midfield,57.4
434,13,Diego Roberto Godín Leal,Uruguay,Center Back,57.3
456,14,José Martín Cáceres Silva,Uruguay,Fullback/Wingback,57.1
465,15,Maximiliano Gómez González,Uruguay,Forward,57
468,16,Sebastián Coates Nión,Uruguay,Center Back,57
532,17,Diego Nicolás De La Cruz Arcosa,Uruguay,Defensive Midfield,56.6
