Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
24,1,Christian Pulisic,United States,Attacking Midfield/Wing,69.4
58,2,Matthew Charles Turner,United States,Goalkeeper,65.5
59,3,Timothy Weah,United States,Attacking Midfield/Wing,65.5
95,4,Antonee Robinson,United States,Fullback/Wingback,63
100,5,Yunus Dimoara Musah,United States,Central/Wide Midfield,62.9
107,6,Tim Ream,United States,Center Back,62.6
110,7,Tyler Adams,United States,Defensive Midfield,62.6
115,8,Weston McKennie,United States,Central/Wide Midfield,62.4
177,9,Sergino Dest,United States,Fullback/Wingback,60.7
190,10,Joshua Sargent,United States,Forward,60.4
218,11,Walker Zimmerman,United States,Center Back,60
240,12,Brenden Aaronson,United States,Attacking Midfield/Wing,59.6
260,13,Haji Wright,United States,Forward,59.4
363,14,Giovanni Reyna,United States,Attacking Midfield/Wing,57.9
448,15,Jesus Ferreira,United States,Forward,57.1
498,16,Cameron Carter-Vickers,United States,Center Back,56.8
558,17,DeAndre Yedlin,United States,Fullback/Wingback,56.3
566,18,Kellyn Kai Perry-Acosta,United States,Defensive Midfield,56.2
