Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
139,1,Kieffer Roberto Francisco Moore,Wales,Forward,61.6
174,2,Aaron Ramsey,Wales,Central/Wide Midfield,60.8
189,3,Gareth Frank Bale,Wales,Forward,60.5
250,4,Joe Rodon,Wales,Center Back,59.5
267,5,Chris Mepham,Wales,Center Back,59.3
275,6,Ethan Ampadu,Wales,Defensive Midfield,59.1
385,7,Ben Davies,Wales,Center Back,57.7
412,8,Harry Wilson,Wales,Central/Wide Midfield,57.5
444,9,Neco Williams,Wales,Fullback/Wingback,57.2
445,10,Brennan Johnson,Wales,Attacking Midfield/Wing,57.2
490,11,Connor Roberts,Wales,Fullback/Wingback,56.8
496,12,Joe Allen,Wales,Defensive Midfield,56.8
517,13,Daniel James,Wales,Attacking Midfield/Wing,56.7
580,14,Wayne Hennessey,Wales,Goalkeeper,55.8
