held_out_match,evaluation_rows,model_train_matches,calibration_matches,development_matches,heldout_excluded
3857254,163,53,10,63,True
3857255,113,53,10,63,True
3857256,161,53,10,63,True
3857257,155,53,10,63,True
3857258,147,53,10,63,True
3857259,152,53,10,63,True
3857260,167,53,10,63,True
3857261,132,53,10,63,True
3857262,127,53,10,63,True
3857263,165,53,10,63,True
3857264,119,53,10,63,True
3857265,157,53,10,63,True
3857266,142,53,10,63,True
3857267,143,53,10,63,True
3857268,147,53,10,63,True
3857269,153,53,10,63,True
3857270,153,53,10,63,True
3857271,129,53,10,63,True
3857272,125,53,10,63,True
3857273,150,53,10,63,True
3857274,149,53,10,63,True
3857275,161,53,10,63,True
3857276,145,53,10,63,True
3857277,152,53,10,63,True
3857278,160,53,10,63,True
3857279,128,53,10,63,True
3857280,142,53,10,63,True
3857281,167,53,10,63,True
3857282,161,53,10,63,True
3857283,140,53,10,63,True
3857284,145,53,10,63,True
3857285,150,53,10,63,True
3857286,144,53,10,63,True
3857287,134,53,10,63,True
3857288,175,53,10,63,True
3857289,143,53,10,63,True
3857290,156,53,10,63,True
3857291,129,53,10,63,True
3857292,156,53,10,63,True
3857293,162,53,10,63,True
3857294,141,53,10,63,True
3857295,144,53,10,63,True
3857296,151,53,10,63,True
3857297,156,53,10,63,True
3857298,171,53,10,63,True
3857299,131,53,10,63,True
3857300,140,53,10,63,True
3857301,162,53,10,63,True
3869117,146,53,10,63,True
3869118,136,53,10,63,True
3869151,137,53,10,63,True
3869152,138,53,10,63,True
3869219,203,53,10,63,True
3869220,191,53,10,63,True
3869253,148,53,10,63,True
3869254,150,53,10,63,True
3869321,186,53,10,63,True
3869354,142,53,10,63,True
3869420,211,53,10,63,True
3869486,156,53,10,63,True
3869519,151,53,10,63,True
3869552,132,53,10,63,True
3869684,155,53,10,63,True
3869685,208,53,10,63,True
