attacking_style,defensive_style,possessions,teams_attacking,matches,shot_rate,shot_rate_ci_low,shot_rate_ci_high,goal_rate,mean_xg,total_xg,penalty_area_entry_rate,final_third_entry_rate,mean_duration_seconds
Direct Long Play,Compact Pressure Block,335,32,62,0.14626865671641792,0.11243943584550267,0.18811870105386272,0.011940298507462687,0.015742056716417912,5.273589,0.2656716417910448,0.6835820895522388,8.760253731343283
Patient Build-up,Compact Pressure Block,1581,32,64,0.275774826059456,0.2543088631222652,0.2983278167831588,0.04490828589500316,0.03613980771663504,57.137036,0.5793801391524351,0.8608475648323846,29.673714104996833
Short Under Pressure,Compact Pressure Block,1205,32,64,0.17012448132780084,0.14996515158359955,0.19238044605301388,0.01991701244813278,0.02106662406639004,25.385281999999997,0.29128630705394193,0.5734439834024896,8.402095435684647
Direct Long Play,High-Intensity Press,66,25,39,0.030303030303030304,0.008349735075946503,0.10392718870586834,0.0,0.0031987424242424243,0.211117,0.07575757575757576,0.3484848484848485,7.1169393939393935
Patient Build-up,High-Intensity Press,22,17,20,0.13636363636363635,0.04748917264236269,0.3333541187947,0.0,0.02681472727272727,0.589924,0.13636363636363635,0.7727272727272727,17.27159090909091
Short Under Pressure,High-Intensity Press,658,32,64,0.019756838905775075,0.011581636802037628,0.03350709742077338,0.00303951367781155,0.002106993920972644,1.386402,0.037993920972644375,0.21428571428571427,5.43898632218845
Direct Long Play,Set-Piece Compact Shape,206,32,59,0.0970873786407767,0.06372981106847019,0.1451973034788836,0.009708737864077669,0.007483320388349514,1.541564,0.4077669902912621,0.8640776699029126,5.949485436893204
Patient Build-up,Set-Piece Compact Shape,108,32,48,0.1574074074074074,0.10066119273812739,0.23768875933695016,0.0,0.010760935185185186,1.1621810000000001,0.7592592592592593,0.9907407407407407,23.744685185185183
Short Under Pressure,Set-Piece Compact Shape,413,32,64,0.22760290556900725,0.18978381436887018,0.27044280408763705,0.014527845036319613,0.021552198547215493,8.901057999999999,0.6658595641646489,0.87409200968523,6.833283292978208
Direct Long Play,Wide Retreating Block,392,32,63,0.00510204081632653,0.0014002511707203822,0.018409693008971696,0.0,0.0006200280612244898,0.243051,0.09948979591836735,0.5459183673469388,8.671716836734694
Patient Build-up,Wide Retreating Block,3631,32,64,0.0936381162214266,0.08458697705555199,0.10354820880784299,0.010740842743045993,0.008611505095015149,31.268375000000002,0.3112090333241531,0.7466262737537869,37.16686147066924
Short Under Pressure,Wide Retreating Block,1068,32,64,0.024344569288389514,0.01666662917671354,0.0354321137718714,0.0,0.0006163679775280899,0.658281,0.05711610486891386,0.32865168539325845,8.961313670411986
