defending_team,Compact Pressure Block,High-Intensity Press,Set-Piece Compact Shape,Wide Retreating Block,defensive_style_entropy,dominant_defensive_style
Argentina,0.19305019305019305,0.07915057915057915,0.06177606177606178,0.666023166023166,0.9609794003693362,Wide Retreating Block
Australia,0.31097560975609756,0.054878048780487805,0.06707317073170732,0.5670731707317073,1.025435151427848,Wide Retreating Block
Belgium,0.22119815668202766,0.055299539170506916,0.05069124423963134,0.6728110599078341,0.9116026849172616,Wide Retreating Block
Brazil,0.25654450261780104,0.09947643979057591,0.060209424083769635,0.5837696335078534,1.061989302372817,Wide Retreating Block
Cameroon,0.37339055793991416,0.06866952789699571,0.060085836909871244,0.4978540772532189,1.0679539442878585,Wide Retreating Block
Canada,0.3789954337899543,0.0730593607305936,0.0867579908675799,0.4611872146118721,1.1278995708754793,Wide Retreating Block
Costa Rica,0.2425531914893617,0.03829787234042553,0.06808510638297872,0.6510638297872341,0.9308733226910763,Wide Retreating Block
Croatia,0.37037037037037035,0.08289241622574955,0.07407407407407407,0.47266313932980597,1.1212831953047322,Wide Retreating Block
Denmark,0.42592592592592593,0.032407407407407406,0.09722222222222222,0.4444444444444444,1.0616750849758174,Wide Retreating Block
Ecuador,0.3456221198156682,0.12903225806451613,0.07834101382488479,0.4470046082949309,1.1908423924164375,Wide Retreating Block
England,0.3696369636963696,0.06930693069306931,0.10891089108910891,0.4521452145214521,1.1532411185651794,Wide Retreating Block
France,0.31477927063339733,0.061420345489443376,0.05182341650671785,0.5719769673704415,1.008143328867595,Wide Retreating Block
Germany,0.38636363636363635,0.07272727272727272,0.07727272727272727,0.4636363636363636,1.1122701365275218,Wide Retreating Block
Ghana,0.46218487394957986,0.06722689075630252,0.09663865546218488,0.3739495798319328,1.1318535994465453,Compact Pressure Block
Iran,0.38114754098360654,0.07377049180327869,0.0942622950819672,0.45081967213114754,1.1417270297648412,Wide Retreating Block
Japan,0.25835866261398177,0.0851063829787234,0.0729483282674772,0.5835866261398176,1.064630740296474,Wide Retreating Block
Mexico,0.2096069868995633,0.11353711790393013,0.11353711790393013,0.5633187772925764,1.144837860919517,Wide Retreating Block
Morocco,0.23025210084033612,0.0773109243697479,0.07058823529411765,0.6218487394957983,1.0185897633086332,Wide Retreating Block
Netherlands,0.29177057356608477,0.0798004987531172,0.10473815461346633,0.5236907730673317,1.1362242585297646,Wide Retreating Block
Poland,0.3493150684931507,0.05136986301369863,0.0684931506849315,0.5308219178082192,1.0397212044426247,Wide Retreating Block
Portugal,0.2808022922636103,0.05730659025787966,0.0659025787965616,0.5959885386819485,1.0081786674028845,Wide Retreating Block
Qatar,0.38425925925925924,0.041666666666666664,0.06018518518518518,0.5138888888888888,1.0111997704813285,Wide Retreating Block
Saudi Arabia,0.34375,0.07421875,0.1171875,0.46484375,1.1674368296030735,Wide Retreating Block
Senegal,0.31353135313531355,0.052805280528052806,0.07260726072607261,0.5610561056105611,1.0336391007888566,Wide Retreating Block
Serbia,0.27705627705627706,0.09523809523809523,0.030303030303030304,0.5974025974025974,0.9932669273876664,Wide Retreating Block
South Korea,0.39705882352941174,0.07720588235294118,0.09926470588235294,0.4264705882352941,1.1572388263251783,Wide Retreating Block
Spain,0.43548387096774194,0.125,0.06854838709677419,0.3709677419354839,1.1735378114636812,Compact Pressure Block
Switzerland,0.28125,0.09375,0.065625,0.559375,1.0823965513647862,Wide Retreating Block
Tunisia,0.49800796812749004,0.06374501992031872,0.12749003984063745,0.3107569721115538,1.148451050326989,Compact Pressure Block
United States,0.363013698630137,0.07534246575342465,0.14726027397260275,0.4143835616438356,1.2098026415087237,Wide Retreating Block
Uruguay,0.3974358974358974,0.04700854700854701,0.07264957264957266,0.4829059829059829,1.0524661955821244,Wide Retreating Block
Wales,0.32242990654205606,0.06542056074766354,0.04672897196261682,0.5654205607476636,1.0088888263350726,Wide Retreating Block
