match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3857276,2022-12-01,15:00:00.000,1,2,available,available,2026-05-04T01:46:04.664252,2026-05-04T01:50:33.318123,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,1833,Canada,male,F,40,Canada,788,Morocco,male,,154,Morocco,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,2638.0,Raphael Claus,31.0,Brazil,John Herdman,Walid Regragui,4435,John Herdman,,1975-07-19,68,England,1000518,Walid Regragui,,1975-09-23,154,Morocco,1.1.0,2,2
3857271,2022-11-21,13:00:00.000,6,2,available,available,2026-05-04T01:40:47.671394,2026-05-04T01:43:30.216315,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,768,England,male,B,68,England,797,Iran,male,B,107,"Iran, Islamic Republic of",10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,2638.0,Raphael Claus,31.0,Brazil,Gareth Southgate,Carlos Manuel Brito Leal Queiróz,277,Gareth Southgate,,1970-09-03,68,England,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,1.1.0,2,2
3857296,2022-12-01,15:00:00.000,0,0,available,available,2026-05-04T01:44:02.255386,2026-05-04T01:50:06.343225,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,785,Croatia,male,F,56,Croatia,782,Belgium,male,F,22,Belgium,10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,8.0,Anthony Taylor,68.0,England,Zlatko Dalić,Roberto Martínez Montoliú,307,Zlatko Dalić,,1966-10-26,56,Croatia,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,1.1.0,2,2
3857274,2022-11-25,16:00:00.000,1,1,available,available,2026-05-04T01:43:00.444702,2026-05-04T01:50:07.646458,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,941,Netherlands,male,A,160,Netherlands,3565,Ecuador,male,A,65,Ecuador,10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,2311.0,Mustapha Ghorbal,4.0,Algeria,Louis van Gaal,Gustavo Julio Alfaro,788,Louis van Gaal,,1951-08-08,160,Netherlands,2881,Gustavo Julio Alfaro,Gustavo Alfaro,1962-08-14,11,Argentina,1.1.0,2,2
3857255,2022-12-01,19:00:00.000,2,1,available,available,2026-05-04T01:42:55.630428,2026-05-04T01:49:36.594944,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,778,Japan,male,E,114,Japan,772,Spain,male,E,214,Spain,10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,2366.0,Victor Miguel de Freitas Gomes,211.0,South Africa,Hajime Moriyasu,Luis Enrique Martínez García,5699,Hajime Moriyasu,,1968-08-23,114,Japan,793,Luis Enrique Martínez García,Luis Enrique,1970-05-08,214,Spain,1.1.0,2,2
3857272,2022-11-25,19:00:00.000,0,0,available,available,2026-05-04T01:42:01.934187,2026-05-04T01:45:01.745587,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,768,England,male,B,68,England,1839,United States,male,B,241,United States of America,10,Group Stage,1001113,Al Bayt Stadium,185,Qatar,1847.0,Jesús Valenzuela Sáez,246.0,Venezuela (Bolivarian Republic),Gareth Southgate,Gregg Berhalter,277,Gareth Southgate,,1970-09-03,68,England,93,Gregg Berhalter,,1973-08-01,241,United States of America,1.1.0,2,2
3857278,2022-11-29,19:00:00.000,0,1,available,available,2026-05-04T01:40:40.663357,2026-05-04T01:44:19.687513,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,797,Iran,male,B,107,"Iran, Islamic Republic of",1839,United States,male,B,241,United States of America,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,180.0,Antonio Miguel Mateu Lahoz,214.0,Spain,Carlos Manuel Brito Leal Queiróz,Gregg Berhalter,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,93,Gregg Berhalter,,1973-08-01,241,United States of America,1.1.0,2,2
3857277,2022-11-23,10:00:00.000,0,0,available,available,2026-05-04T01:40:05.637036,2026-05-04T01:46:30.388595,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,788,Morocco,male,,154,Morocco,785,Croatia,male,F,56,Croatia,10,Group Stage,1001113,Al Bayt Stadium,185,Qatar,1121.0,Fernando Andrés Rapallini,11.0,Argentina,Walid Regragui,Zlatko Dalić,1000518,Walid Regragui,,1975-09-23,154,Morocco,307,Zlatko Dalić,,1966-10-26,56,Croatia,1.1.0,2,2
3857273,2022-11-25,10:00:00.000,0,2,available,available,2026-05-03T16:13:23.239106,2026-05-03T16:15:22.543697,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,907,Wales,male,B,249,Wales,797,Iran,male,B,107,"Iran, Islamic Republic of",10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,1835.0,Mario Alberto Escobar Toca,93.0,Guatemala,Robert Page,Carlos Manuel Brito Leal Queiróz,1000471,Robert Page,,1974-09-03,249,Wales,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,1.1.0,2,2
3857275,2022-11-30,15:00:00.000,1,0,available,available,2026-05-03T16:12:47.832747,2026-05-03T16:15:48.111812,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,777,Tunisia,male,D,232,Tunisia,771,France,male,D,78,France,10,Group Stage,94425,Education City Stadium ,185,Qatar,739.0,Matthew Conger,163.0,New Zealand,Jalel Kadri,Didier Deschamps,1001303,Jalel Kadri,,,232,Tunisia,545,Didier Deschamps,,1968-10-15,78,France,1.1.0,2,2
3857261,2022-11-29,19:00:00.000,0,3,available,available,2026-05-03T16:09:55.338260,2026-05-03T16:11:27.929788,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,907,Wales,male,B,249,Wales,768,England,male,B,68,England,10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,943.0,Slavko Vinčić,208.0,Slovenia,Robert Page,Gareth Southgate,1000471,Robert Page,,1974-09-03,249,Wales,277,Gareth Southgate,,1970-09-03,68,England,1.1.0,2,2
3857290,2022-11-24,10:00:00.000,1,0,available,available,2026-05-03T16:09:36.189321,2026-05-03T16:11:26.531423,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,773,Switzerland,male,G,221,Switzerland,2722,Cameroon,male,G,39,Cameroon,10,Group Stage,117897,Al Janoub Stadium   ,185,Qatar,1094.0,Facundo Tello Figueroa,11.0,Argentina,Murat Yakin,Rigobert Song Bahanag,2832,Murat Yakin,,1974-09-15,221,Switzerland,1001250,Rigobert Song Bahanag,,1976-07-01,39,Cameroon,1.1.0,2,2
3857298,2022-11-24,16:00:00.000,3,2,available,available,2026-05-03T16:11:32.370436,2026-05-03T16:15:48.066604,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,780,Portugal,male,H,183,Portugal,4885,Ghana,male,H,86,Ghana,10,Group Stage,1001115,Stadium 974,185,Qatar,438.0,Ismail Elfath,241.0,United States of America,Fernando Manuel Fernandes da Costa Santos,Otto Addo,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,1001251,Otto Addo,,1975-06-09,86,Ghana,1.1.0,2,2
